Pet_ID,Pet_Type,Owner_Name,Procedure,Cost_Per_Treatment,Repeat_Seen,Consultation_Time_Minutes,Date_of_Treatment,Referral_Source,Diagnosis,Main_Condition,Visits_Count,Total_Income
PET0640,Dog,Owner_29,Deworming,152,True,58,2025-01-17,Online Booking,Ear Infection,Trauma,5,760
PET0026,Rabbit,Owner_133,Surgery,485,True,49,2025-03-20,Emergency,Skin Infection,Behavioral Issue,4,1940
PET0276,Rabbit,Owner_45,Checkup,910,True,41,2025-03-14,Emergency,Parvovirus,Preventative Care,4,3640
PET0224,Bird,Owner_61,Vaccination,320,False,43,2025-03-05,Walk-in,Parvovirus,Behavioral Issue,4,1280
PET0737,Cat,Owner_13,Vaccination,156,False,37,2025-03-08,Online Booking,Ear Infection,Infectious Disease,2,312
PET0677,Cat,Owner_190,Deworming,121,False,40,2025-03-22,Online Booking,Ear Infection,Infectious Disease,4,484
PET0893,Dog,Owner_176,Dental Cleaning,750,False,17,2025-03-05,Walk-in,Arthritis,Genetic Disorder,3,2250
PET0087,Dog,Owner_183,Dental Cleaning,70,False,48,2025-03-05,Online Booking,Dental Disease,Chronic Disease,1,70
PET0422,Bird,Owner_126,Deworming,664,False,35,2025-01-24,Referred by Vet,Parvovirus,Trauma,4,2656
PET0030,Cat,Owner_86,Vaccination,171,True,43,2025-03-20,Online Booking,Parvovirus,Chronic Disease,1,171
PET0219,Rabbit,Owner_100,Dental Cleaning,516,True,12,2025-01-30,Emergency,Parvovirus,Preventative Care,2,1032
PET0506,Rabbit,Owner_195,Neutering,264,False,59,2025-02-07,Online Booking,Parvovirus,Trauma,1,264
PET0027,Rabbit,Owner_189,Checkup,380,True,21,2025-01-25,Referred by Vet,Skin Infection,Infectious Disease,2,760
PET0199,Dog,Owner_135,Surgery,508,False,10,2025-01-01,Emergency,Parvovirus,Genetic Disorder,3,1524
PET0650,Bird,Owner_158,Deworming,137,False,53,2025-01-16,Emergency,Arthritis,Genetic Disorder,2,274
PET0545,Dog,Owner_64,Vaccination,422,True,14,2025-01-04,Walk-in,Arthritis,Trauma,2,844
PET0221,Dog,Owner_84,Surgery,149,False,39,2025-03-01,Referred by Vet,Dental Disease,Genetic Disorder,5,745
PET0590,Rabbit,Owner_30,Surgery,921,False,39,2025-03-22,Emergency,Dental Disease,Behavioral Issue,4,3684
PET0810,Dog,Owner_76,Neutering,713,False,26,2025-01-16,Online Booking,Parvovirus,Trauma,4,2852
PET0007,Bird,Owner_151,Vaccination,180,False,57,2025-01-27,Emergency,Arthritis,Infectious Disease,3,540
PET0806,Dog,Owner_95,Deworming,711,True,56,2025-03-20,Walk-in,Parvovirus,Infectious Disease,3,2133
PET0699,Dog,Owner_170,Vaccination,358,True,32,2025-02-23,Emergency,Arthritis,Behavioral Issue,4,1432
PET0341,Bird,Owner_61,Deworming,819,True,24,2025-02-22,Walk-in,Dental Disease,Chronic Disease,5,4095
PET0156,Cat,Owner_142,Vaccination,393,True,46,2025-01-06,Online Booking,Dental Disease,Genetic Disorder,4,1572
PET0958,Dog,Owner_162,Vaccination,541,False,30,2025-02-12,Walk-in,Skin Infection,Trauma,5,2705
PET0337,Bird,Owner_183,Dental Cleaning,463,True,23,2025-02-14,Referred by Vet,Parvovirus,Infectious Disease,3,1389
PET0093,Dog,Owner_113,Dental Cleaning,855,False,11,2025-03-13,Online Booking,Ear Infection,Preventative Care,1,855
PET0097,Bird,Owner_194,Checkup,435,True,20,2025-03-23,Walk-in,Dental Disease,Chronic Disease,3,1305
PET0848,Dog,Owner_112,Checkup,241,True,48,2025-01-28,Emergency,Arthritis,Behavioral Issue,3,723
PET0604,Dog,Owner_27,Checkup,326,False,47,2025-01-02,Referred by Vet,Skin Infection,Infectious Disease,2,652
PET0808,Cat,Owner_49,Dental Cleaning,210,False,43,2025-03-23,Online Booking,Obesity,Genetic Disorder,2,420
PET0730,Dog,Owner_41,Dental Cleaning,509,False,47,2025-01-26,Online Booking,Arthritis,Behavioral Issue,2,1018
PET0537,Rabbit,Owner_130,Dental Cleaning,363,True,59,2025-03-30,Referred by Vet,Dental Disease,Chronic Disease,2,726
PET0974,Dog,Owner_185,Vaccination,71,True,43,2025-02-06,Walk-in,Ear Infection,Infectious Disease,5,355
PET0379,Dog,Owner_170,Surgery,302,False,27,2025-02-02,Emergency,Ear Infection,Infectious Disease,4,1208
PET0553,Bird,Owner_19,Deworming,797,False,39,2025-01-09,Walk-in,Dental Disease,Chronic Disease,1,797
PET0830,Dog,Owner_145,Vaccination,906,True,24,2025-02-09,Emergency,Dental Disease,Preventative Care,3,2718
PET0619,Cat,Owner_39,Neutering,610,True,36,2025-02-08,Online Booking,Obesity,Trauma,5,3050
PET0862,Dog,Owner_54,Neutering,524,True,43,2025-03-06,Walk-in,Arthritis,Infectious Disease,1,524
PET0578,Dog,Owner_135,Dental Cleaning,108,False,47,2025-03-12,Referred by Vet,Ear Infection,Genetic Disorder,5,540
PET0705,Rabbit,Owner_121,Surgery,560,True,42,2025-02-11,Emergency,Parvovirus,Genetic Disorder,5,2800
PET0046,Rabbit,Owner_175,Surgery,731,False,33,2025-01-01,Walk-in,Arthritis,Infectious Disease,3,2193
PET0228,Rabbit,Owner_38,Dental Cleaning,525,True,24,2025-01-15,Referred by Vet,Parvovirus,Trauma,4,2100
PET0290,Cat,Owner_153,Vaccination,749,True,39,2025-03-29,Referred by Vet,Parvovirus,Chronic Disease,2,1498
PET0080,Bird,Owner_145,Dental Cleaning,832,True,51,2025-02-12,Emergency,Dental Disease,Infectious Disease,4,3328
PET0233,Rabbit,Owner_112,Dental Cleaning,239,False,26,2025-02-13,Online Booking,Skin Infection,Genetic Disorder,3,717
PET0102,Dog,Owner_96,Vaccination,736,False,14,2025-02-20,Emergency,Obesity,Chronic Disease,3,2208
PET0278,Rabbit,Owner_174,Deworming,612,True,38,2025-03-14,Walk-in,Ear Infection,Genetic Disorder,3,1836
PET0636,Bird,Owner_67,Dental Cleaning,925,False,13,2025-03-20,Referred by Vet,Ear Infection,Behavioral Issue,1,925
PET0365,Dog,Owner_192,Neutering,616,True,19,2025-01-04,Online Booking,Arthritis,Genetic Disorder,4,2464
